title,category,type,medium,frame,photo_url_link,artist,site,street_address,city,zip_code,state,latitude,longitude
YOUNG LINCOLN,SCULPTURE,FIGURATIVE,BRONZE,False,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/YOUNG%20LINCOLN.HTML,BRYANT BAKER,DELAWARE PARK,199 LINCOLN PKWY,BUFFALO,14209,NY,42.931635,-78.873736
MAYOR GEORGE S BUCK,PAINTINGS,PORTRAIT,OIL ON CANVAS,True,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/GEORGE%20BUCK.HTML,GEZA KENDE,201 CITY HALL,65 NIAGARA SQUARE,BUFFALO,14202,NY,42.886641,-78.879354
FOUNTAIN AT FOUNTAIN PLAZA,DECORATIVE OBJECTS,FOUNTAIN,CARNELIAN GRANITE,False,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/FOUNTAIN%20AT%20FOUNTAIN%20PLAZA.HTML,STU DAWSON,FOUNTAIN PLAZA,E CHIPPEWA ST & MAIN ST,BUFFALO,14201,NY,42.890736,-78.875651
MAYOR STEVEN PANKOW,PAINTINGS,PORTRAIT,OIL ON CANVAS,True,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/STEVEN%20PANKOW.HTML,TONY SISTI,201 CITY HALL,65 NIAGARA SQUARE,BUFFALO,14202,NY,42.886641,-78.879354
GEORGE P BURD MEMORIAL,SCULPTURE,RELIEF,GRANITE,False,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/BURD%20MEMORIAL.HTML,UNKNOWN,MARKET SQUARE,AMHERST ST & NIAGARA ST,BUFFALO,14207,NY,42.934465,-78.901991
MARKET ARCADE,PAINTINGS,ABSTRACT,MIXED MEDIA,True,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/MARKET%20ARCADE.HTML,TERRI KATZ KASIMOV,1417 CITY HALL,65 NIAGARA SQUARE,BUFFALO,14202,NY,42.886641,-78.879354
CHESTER C GORSKI,DECORATIVE OBJECTS,PLAQUE,BRONZE,False,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/CHESTER%20GORSKI%20PLAQUE.HTML,UNKNOWN,ERIE BASIN MARINA,329 ERIE ST,BUFFALO,14202,NY,42.884454,-78.890315
CRUSADE FOR FREEDOM MEMORIAL,SCULPTURE,RELIEF,GRANITE,False,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/CRUSADERS%20FOR%20FREEDOM.HTML,UNKNOWN,LASALLE PARK,AMVETS DRIVE,BUFFALO,14202,NY,42.88842,-78.891076
21ST WARD WORLD WAR I MEMORIAL,SCULPTURE,FIGURATIVE AND RELIEF,GRANITE AND BRONZE,False,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/21ST%20WARD%20WWI%20MEMORIAL.HTML,UNKNOWN,RIVERSIDE PARK,2607 NIAGARA ST,BUFFALO,14207,NY,42.955957,-78.910804
PRESIDENT GROVER CLEVELAND LETTERS,DECORATIVE OBJECTS,LETTER/PHOTOGRAPH,PAPER,True,UNKNOWN,UNKNOWN,201 CITY HALL,65 NIAGARA SQUARE,BUFFALO,14202,NY,42.886641,-78.879354
